sample_id,game,label,F1,F2,F3,F4,C1,C2,C3
c1,circle,0,0.078359,0.727273,0.003008,0.014181,0.761673,0.0,0.050777
c2,circle,1,0.075987,0.571429,0.029259,0.126193,0.734045,0.0,0.044024
c3,circle,1,0.155124,0.636364,1.71068,0.225622,0.844231,0.0,0.126077
c4,circle,1,0.07557,0.701299,0.017041,0.066596,0.650584,0.0,0.181715
c5,circle,1,0.09068,0.831169,4e-06,0.000133,0.737503,0.0,0.255802
c6,circle,1,0.006467,0.038961,0.028064,0.212137,0.875,0.0,0.215197
c7,circle,1,0.06342,0.558442,0.002941,0.029114,0.814295,0.0,0.051431
c8,circle,0,0.087707,0.792208,0.000742,0.002671,0.704435,0.0,0.132687
c9,circle,0,0.084146,0.753247,0.003308,0.010791,0.749305,0.0,0.123806
c10,circle,1,0.089969,0.909091,0.011811,0.046651,0.689284,0.0,0.181363
c11,circle,0,0.084826,0.792208,0.003725,0.011021,0.726674,0.0,0.075628
c12,circle,1,0.088443,0.831169,0.016357,0.027438,0.74841,0.0,0.195707
c13,circle,1,0.082061,0.792208,0.001365,0.020412,0.733856,0.0,0.182287
c14,circle,1,0.114096,0.792208,0.002897,0.021837,0.700428,0.0,0.173545
c15,circle,1,0.06201,0.558442,0.152642,0.113976,0.790965,0.0,0.137881
c16,circle,0,0.087799,0.896104,0.000476,0.002639,0.705372,0.0,0.045577
c17,circle,1,0.064003,0.532468,0.001146,0.010247,0.769799,0.0,0.05423
c18,circle,1,0.009103,0.051948,0.003358,0.100499,0.877451,0.0,0.141776
c20,circle,1,0.028657,0.272727,0.035402,0.035834,0.817577,0.0,0.050747
