sample_id,game,label,F1,F2,F3,F4,C1,C2,C3
s4,sym,1,0.053424,0.0,203.363627,0.945373,0.875,0.0,0.437125
c3,circle,1,0.155124,0.636364,1.71068,0.225622,0.844231,0.0,0.126077
c6,circle,1,0.006467,0.038961,0.028064,0.212137,0.875,0.0,0.215197
c18,circle,1,0.009103,0.051948,0.003358,0.100499,0.877451,0.0,0.141776
l10,maze,1,0.014515,0.120968,0.031338,0.091664,0.433476,0.004807,0.316733
l13,maze,1,0.018934,0.129032,0.001212,0.066629,0.510062,0.0,0.20659
l15,maze,1,0.020968,0.112903,0.003086,0.089062,0.601562,0.0,0.176956
l16,maze,1,0.008947,0.072581,0.001176,0.087145,0.593333,0.0,0.19365
l17,maze,1,0.017283,0.137097,0.001095,0.058015,0.824647,0.0,0.151524
l29,maze,1,0.02826,0.201613,1.780916,0.530142,0.496128,0.013984,0.428249

