sample_id,game,label,F1,F2,F3,F4,C1,C2,C3
l1,maze,0,0.086469,0.846774,3e-06,0.000116,0.498577,0.0,0.035632
l2,maze,1,0.088798,0.895161,0.00029,0.003334,0.506928,0.0,0.0582
l3,maze,1,0.070793,0.556452,0.017928,0.095291,0.511023,0.0,0.036641
l4,maze,0,0.08896,0.927419,0.0,0.0,0.366191,0.0,0.038032
l5,maze,1,0.099746,0.887097,4e-06,0.000146,0.422396,0.025252,0.216994
l6,maze,1,0.070104,0.548387,0.004542,0.086529,0.452746,0.0,0.057746
l7,maze,0,0.088927,0.959677,0.0,0.0,0.318438,0.0,0.143575
l8,maze,0,0.083705,0.862903,0.0,0.0,0.358989,0.0,0.172646
l9,maze,0,0.089081,0.854839,0.000319,0.008284,0.423766,0.0,0.18088
l10,maze,1,0.014515,0.120968,0.031338,0.091664,0.433476,0.004807,0.316733
l11,maze,1,0.098813,0.83871,0.035373,0.035911,0.479914,0.008266,0.241756
l12,maze,1,0.065866,0.701613,6.3e-05,0.001446,0.508549,0.0,0.07601
l13,maze,1,0.018934,0.129032,0.001212,0.066629,0.510062,0.0,0.20659
l14,maze,1,0.008656,0.08871,0.000199,0.006012,0.483144,0.0,0.06669
l15,maze,1,0.020968,0.112903,0.003086,0.089062,0.601562,0.0,0.176956
l16,maze,1,0.008947,0.072581,0.001176,0.087145,0.593333,0.0,0.19365
l17,maze,1,0.017283,0.137097,0.001095,0.058015,0.824647,0.0,0.151524
l18,maze,1,0.071054,0.653226,0.010795,0.009963,0.525721,0.0,0.074588
l19,maze,1,0.065107,0.645161,6.3e-05,0.000981,0.368928,0.0,0.050078
l20,maze,1,0.076254,0.508065,0.007831,0.124403,0.451715,0.0,0.272849
l21,maze,1,0.069871,0.483871,0.006856,0.094374,0.451041,0.0,0.060276
l22,maze,1,0.055264,0.362903,0.03014,0.091645,0.484875,0.0,0.065296
l23,maze,0,0.093555,0.951613,7.2e-05,0.001494,0.454954,0.005251,0.167982
l24,maze,1,0.128452,0.959677,0.00051,0.006923,0.409923,0.189836,0.383531
l25,maze,1,0.104931,0.903226,0.00113,0.018502,0.361449,0.03902,0.292683
l26,maze,1,0.095744,0.862903,0.020522,0.030225,0.555434,0.0271,0.31991
l27,maze,0,0.084925,0.846774,0.002931,0.023475,0.460003,0.0,0.217792
l28,maze,1,0.087073,0.862903,0.000622,0.008891,0.370099,0.0,0.217646
l29,maze,1,0.02826,0.201613,1.780916,0.530142,0.496128,0.013984,0.428249
l30,maze,0,0.088698,0.935484,0.0,0.0,0.399798,0.0,0.236248
l31,maze,0,0.077083,0.540323,0.004871,0.097543,0.481039,0.0,0.109573
l32,maze,0,0.090423,0.919355,0.0,0.0,0.429124,0.0,0.324009
l33,maze,1,0.084538,0.854839,7.3e-05,0.002262,0.413522,0.0,0.124384
l34,maze,0,0.089063,0.951613,0.000166,0.003915,0.43861,0.0,0.095792
