sample_id,game,label,F1,F2,F3,F4,F3_zscore,F4_zscore,is_unanalyzable,triggered_rules,C1,C2,C3
s1,sym,0,0.597947,0.714286,12.128089,0.290752,-0.24822123935251564,0.07673765988750779,False,,0.408331,0.0,0.04338
s2,sym,1,0.450867,0.571429,17.252685,0.51659,-0.17552621783420308,0.7738842376660671,False,,0.39848,0.0,0.153205
s3,sym,1,0.926419,1.0,0.528322,0.038181,-0.41276988117177554,-0.7029318744517464,False,,0.312438,0.0,0.188349
s4,sym,1,0.053424,0.0,203.363627,0.945373,2.4645529090830056,2.09750825603155,True,Rule2|Rule3,0.875,0.0,0.437125
s5,sym,0,0.88811,1.0,0.727226,0.055613,-0.4099483259584321,-0.6491204736076199,False,,0.481634,0.00772,0.142064
s6,sym,0,0.892323,1.0,0.487907,0.040678,-0.4133431886665834,-0.6952238049297305,False,,0.380952,0.0,0.118077
s7,sym,1,0.655541,0.904762,2.330446,0.220114,-0.38720582832572337,-0.14131705172489523,False,,0.612582,0.0,0.051406
s8,sym,0,0.77948,0.857143,0.19218,0.019844,-0.41753822777377275,-0.7595369488711331,False,,0.54136,0.0,0.278289
c1,circle,0,0.078359,0.727273,0.003008,0.014181,-0.26546553061914785,-0.6203360162578897,False,,0.761673,0.0,0.050777
c2,circle,1,0.075987,0.571429,0.029259,0.126193,-0.1981543988359095,1.0124777624412136,False,,0.734045,0.0,0.044024
c3,circle,1,0.155124,0.636364,1.71068,0.225622,4.113237567721721,2.46186748142019,True,Rule3,0.844231,0.0,0.126077
c4,circle,1,0.07557,0.701299,0.017041,0.066596,-0.2294830113888639,0.14372438986389635,False,,0.650584,0.0,0.181715
c5,circle,1,0.09068,0.831169,4e-06,0.000133,-0.2731681948939125,-0.8251155752619697,False,,0.737503,0.0,0.255802
c6,circle,1,0.006467,0.038961,0.028064,0.212137,-0.2012185412488069,2.2652948480795,True,Rule1|Rule3,0.875,0.0,0.215197
c7,circle,1,0.06342,0.558442,0.002941,0.029114,-0.2656373277251429,-0.4026556948877355,False,,0.814295,0.0,0.051431
c8,circle,0,0.087707,0.792208,0.000742,0.002671,-0.27127586259205616,-0.7881188126799399,False,,0.704435,0.0,0.132687
c9,circle,0,0.084146,0.753247,0.003308,0.010791,-0.2646962898460355,-0.6697524958296316,False,,0.749305,0.0,0.123806
c10,circle,1,0.089969,0.909091,0.011811,0.046651,-0.242893442200122,-0.1470165201828274,False,,0.689284,0.0,0.181363
c11,circle,0,0.084826,0.792208,0.003725,0.011021,-0.26362704517140934,-0.6663997553277141,False,,0.726674,0.0,0.075628
