iter	RMSE
0	1.980036874
1	1.831336168
2	1.698069272
3	1.583535482
4	1.480336648
5	1.386746865
6	1.305318593
7	1.231152611
8	1.166460579
9	1.109437702
10	1.060338812
11	1.019271643
12	0.9831695954
13	0.9513331016
14	0.9238600146
15	0.9010891277
16	0.8798528532
17	0.8618119929
18	0.8466529862
19	0.8343323711
20	0.8228583089
21	0.8144743633
22	0.8073096673
23	0.8001405651
24	0.7938516455
25	0.7889817705
26	0.7849402384
27	0.7813208794
28	0.7775480446
29	0.773808109
30	0.7707001468
31	0.7674886039
32	0.7653010254
33	0.762884556
34	0.7615291976
35	0.7597164964
36	0.7582598993
37	0.7562531678
38	0.7550282466
39	0.7534878931
40	0.7525873812
41	0.751519656
42	0.7501185013
43	0.7490375387
44	0.7480118052
45	0.7463209462
46	0.7455761954
47	0.7447684434
48	0.7441175027
49	0.743789257
50	0.7428879095
51	0.7420996963
52	0.7413265244
53	0.7401191264
54	0.740010886
55	0.7394921147
56	0.7390324072
57	0.7385710909
58	0.7380746752
59	0.7376398262
60	0.7369224997
61	0.7364536057
62	0.7359496596
63	0.7357038201
64	0.7354317345
65	0.7351197192
66	0.7348179405
67	0.7343068687
68	0.7338978812
69	0.7337312064
70	0.7330250684
71	0.7324512458
72	0.7321824814
73	0.7309648376
74	0.7304809437
75	0.7302090333
76	0.729391326
77	0.7289967349
78	0.7287935973
79	0.7284709508
80	0.7281450121
81	0.727118492
82	0.7263976387
83	0.7250646422
84	0.724754969
85	0.7244813621
86	0.72372261
87	0.7232632347
88	0.7225164669
89	0.7222935017
90	0.7219408529
91	0.7214259681
92	0.7205567981
93	0.7203359781
94	0.7199908773
95	0.7185856424
96	0.7180461975
97	0.7178044929
98	0.7164302389
99	0.7160034046
100	0.7154645281
101	0.7142423625
102	0.7128898603
103	0.7127057163
104	0.7112706316
105	0.7109464684
106	0.7105591003
107	0.7093458241
108	0.7080416141
109	0.70661548
110	0.7063073371
111	0.7059941952
112	0.705194857
113	0.7048928935
114	0.7046517077
115	0.7035003133
116	0.7024087387
117	0.7012951664
118	0.7010257774
119	0.6996507441
120	0.6994852944
121	0.6990532372
122	0.6981551544
123	0.6971179067
124	0.6968081146
125	0.6957866619
126	0.6954080582
127	0.6951689787
128	0.6941160619
129	0.6939483488
130	0.6937989541
131	0.6930662981
132	0.692554338
133	0.6922503454
134	0.6918848213
135	0.6917462659
136	0.6914627169
137	0.6904223207
138	0.6894474563
139	0.6884848489
140	0.6881684351
141	0.6878631676
142	0.6875452084
143	0.6865312361
144	0.6856582393
145	0.6855043915
146	0.6845577251
147	0.6844170285
148	0.6842916428
149	0.6833236374
150	0.6823985976
151	0.6821135463
152	0.6819555599
